type,description
Hearing aids,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE drop off recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Electrical items,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Furniture,"What?
This is furniture / a bulky item
Where?
Furniture at the end of its useful life can often be recycled, especially items made from wood and metal. Most furniture can be recycled at your local civic amenity site and some local authorities may also provide a bulky goods collection service for a fee. Some upcycling projects accept furniture donations check out www.crni.ie
General Comment / Tip
If you have a piece of furniture that is still usable, you could consider selling it, passing it on to someone else or donating it – some charity shops and upcycling projects accept furniture for resale or repurposing."
Laptop,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Tables,"What?
This is furniture / a bulky item
Where?
Furniture at the end of its useful life can often be recycled, especially items made from wood and metal. Most furniture can be recycled at your local civic amenity site and some local authorities may also provide a bulky goods collection service for a fee.
General Comment / Tip
If you have a piece of furniture that is still usable, you could consider selling it, passing it on to someone else or donating it – some charity shops and upcycling projects accept furniture for resale and upcycling."
Cassette Tapes,"What?
Cassette tapes are generally made up of a number of different types of materials, some of which are recyclable and some of which are not.
Where?
Where possible cassette tapes should be dismantled and the outer hard parts placed in the recycling bin but the tape should be placed in the general waste bin."
Chest of drawers,"What?
Chests of drawers are furniture and considered a bulky item for disposal.
Where?
Furniture at the end of its useful life can often be recycled, especially items made from wood and metal.
Some furniture can be recycled at your local civic amenity site, check the Waste Services Locator on this site for additional information.
Some local authorities may also provide a bulky goods collection service for a fee.
Also check out up cycling projects that welcome donations of furniture, some of which are listed on www.crni.ie
General Comment / Tip
If you have a piece of furniture that is still usable, you could consider selling it, passing it on to someone else or donating it – some charity shops accept furniture for resale. There are also furniture up cycling projects that welcome donations check out www.crni.ie."
Christmas decorations,"What?
Many Christmas decorations are made of a combination of materials which sometimes renders them unsuitable for recycling.
 
Where?
Any old decoration made from paper, card or rigid plastic only can be placed in the recycling bin.
If you are not sure what the decoration is made of or unsure if it is made of multiple materials then place the item in the general waste bin.
If a decoration has a battery, remove battery separately for recycling.
 
General Comment / Tip
Reuse your decorations each year or perhaps swap then with friends."
Carrier bags,"What?
Carrier bags are generally made from paper, card or soft plastics.
Where?
Carrier bags made from paper or card when no longer suitable for use, should be placed in the household recycling bin.
Carrier bags made from soft plastics should be reused indefinitely and when become no longer fit for purpose should be disposed of in the general waste bin.
How?
Please make sure carrier bags suitable for recycling are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to a recycling facility it may not be recycled."
Wardrobes,"What?
This is furniture / a bulky item.
Where?
Furniture at the end of its useful life can often be recycled, especially items made from wood and metal. Most furniture can be recycled at your local civic amenity site and some local authorities may also provide a bulky goods collection service for a fee.
General Comment / Tip
If you have a piece of furniture that is still usable, you could consider selling it, passing it on to someone else or donating it – some charity shops and upcycling projects accept furniture for resale and upcycling. More information on charity shops can be found here: http://www.icsa.ie"
